SampleID,ComponentID,ComponentType,X,Y,Width,Height,Power
181,3,Capacitor,16,5,8,10,0.83
181,4,IC,72,59,10,5,0.96
181,5,IC,22,37,5,13,2.28
181,6,Capacitor,16,76,18,20,0.84
181,7,Resistor,41,83,11,8,0.79
181,8,IC,74,65,20,9,3.36
182,0,Diode,87,45,7,20,2.56
182,1,Resistor,78,33,12,9,4.05
182,2,Capacitor,11,29,18,20,1.92
182,3,IC,33,22,9,6,4.62
182,4,Resistor,19,2,15,18,2.61
183,0,Inductor,5,86,13,13,0.14
183,1,IC,37,31,15,9,1.48
183,2,Capacitor,69,67,5,13,3.76
183,3,Diode,44,52,19,17,1.21
183,4,Capacitor,37,46,7,6,2.71
183,5,Inductor,73,49,20,10,1.7
183,6,Capacitor,66,68,7,8,3.19
183,7,Resistor,38,91,15,8,1.37
183,8,Inductor,8,44,8,8,2.07
184,0,Capacitor,74,18,8,13,2.22
184,1,Inductor,18,60,11,20,0.61
184,2,Diode,29,27,7,19,0.68
184,3,Resistor,46,72,20,15,1.97
184,4,Diode,83,8,9,13,1.86
184,5,Inductor,12,3,9,6,2.59
184,6,Inductor,51,64,20,14,1.68
184,7,Inductor,63,23,11,12,4.8
184,8,Capacitor,84,65,7,6,1.26
184,9,Diode,1,58,11,20,2.48
184,10,Inductor,63,16,10,14,3.19
184,11,Resistor,24,63,12,8,2.8
184,12,Capacitor,70,47,11,11,2.17
184,13,IC,30,4,10,14,4.3
184,14,IC,4,1,17,19,0.41
185,0,Diode,25,85,6,13,0.74
185,1,Diode,6,66,14,10,3.6
185,2,Diode,33,24,9,8,4.59
185,3,Inductor,28,73,14,6,1.8
185,4,Diode,35,72,10,14,1.54
185,5,IC,57,6,14,14,0.3
185,6,Capacitor,36,28,16,5,4.49
185,7,IC,69,19,16,6,1.93
185,8,Capacitor,63,1,12,7,3.06
185,9,IC,44,50,18,16,3.0
186,0,Capacitor,63,67,5,10,3.42
186,1,Diode,44,80,6,19,1.7
186,2,Inductor,18,36,14,5,2.18
186,3,Inductor,4,23,8,16,3.72
186,4,Resistor,65,51,16,7,3.45
187,0,Diode,69,28,6,19,1.39
187,1,Resistor,50,4,17,20,1.49
187,2,Resistor,41,43,19,12,3.56
187,3,Resistor,30,23,9,9,3.5
187,4,Inductor,33,42,7,19,1.71
187,5,Diode,30,57,18,5,4.56
187,6,Diode,2,70,6,18,2.67
187,7,Capacitor,3,62,6,15,2.87
187,8,Capacitor,37,76,8,17,1.57
187,9,Diode,21,79,17,6,0.81
187,10,Capacitor,44,83,14,15,1.61
187,11,Diode,12,78,7,19,2.47
187,12,IC,51,34,14,7,1.03
187,13,IC,11,22,18,20,2.63
187,14,Capacitor,30,63,17,8,4.8
188,0,Capacitor,62,66,8,7,2.05
188,1,IC,80,26,18,12,0.99
188,2,Diode,45,36,15,5,2.89
188,3,Diode,10,57,20,10,1.13
188,4,Inductor,79,7,8,8,2.08
188,5,Inductor,82,78,16,19,1.4
188,6,Diode,57,59,14,12,1.29
188,7,Capacitor,94,52,6,19,4.49
188,8,Inductor,88,79,10,11,1.62
188,9,Inductor,38,24,17,15,1.53
188,10,Resistor,6,75,14,8,1.4
189,0,Diode,34,84,13,16,4.72
189,1,Diode,25,10,20,18,1.22
189,2,Diode,69,76,6,19,4.97
189,3,IC,25,86,17,8,2.1
189,4,IC,31,43,11,7,1.64
189,5,Resistor,71,15,16,12,2.87
189,6,Diode,7,5,15,9,2.41
189,7,Diode,30,6,20,5,1.35
189,8,IC,42,10,9,9,2.32
189,9,Diode,15,6,17,9,4.81
190,0,Inductor,81,70,5,13,1.84
190,1,Diode,12,4,17,18,1.59
190,2,IC,13,47,19,11,1.54
190,3,Resistor,72,41,19,10,0.23
190,4,Resistor,86,34,8,13,1.38
190,5,Resistor,71,3,16,7,1.56
190,6,Resistor,13,54,15,14,0.98
190,7,Capacitor,29,7,7,10,0.49
190,8,Capacitor,65,3,18,8,1.76
190,9,Diode,54,46,17,12,3.03
190,10,IC,69,60,14,13,0.46
191,0,Capacitor,20,39,13,11,1.01
191,1,Capacitor,71,29,11,19,2.26
191,2,Inductor,10,38,20,9,1.18
191,3,Capacitor,4,43,12,15,4.37
191,4,IC,84,81,6,17,4.09
191,5,Diode,55,20,16,19,2.32
191,6,IC,37,70,20,8,2.61
191,7,Diode,36,87,13,6,2.41
191,8,Inductor,36,22,11,14,1.78
191,9,IC,44,28,6,14,1.39
191,10,Resistor,42,2,8,10,1.88
191,11,Diode,74,51,9,13,0.22
192,0,Capacitor,79,11,7,14,2.37
192,1,Capacitor,30,28,13,13,0.1
192,2,Diode,19,42,7,9,4.63
192,3,Inductor,79,10,15,6,2.02
192,4,IC,38,46,6,6,0.38
192,5,IC,28,43,20,12,4.57
192,6,Inductor,77,32,13,6,3.36
192,7,IC,50,47,20,15,1.3
192,8,Capacitor,46,75,5,6,0.48
192,9,IC,68,30,8,8,1.84
192,10,Resistor,19,63,12,15,2.89
192,11,Resistor,8,25,19,9,1.73
192,12,Resistor,5,68,14,9,2.84
193,0,Resistor,37,11,8,13,3.16
193,1,Inductor,58,67,9,14,1.37
193,2,IC,49,25,20,19,4.68
193,3,IC,61,25,17,6,4.4
193,4,Resistor,3,84,16,6,0.94
193,5,Inductor,77,86,20,7,3.44
193,6,Diode,74,73,8,17,0.37
193,7,Inductor,65,72,7,9,1.87
193,8,Resistor,68,77,8,5,0.49
193,9,Resistor,36,20,9,15,0.93
193,10,IC,70,61,7,20,2.83
193,11,Inductor,81,17,14,13,3.4
193,12,Diode,6,59,9,15,2.32
194,0,Capacitor,82,26,12,8,0.65
194,1,Diode,20,53,17,11,3.65
194,2,Inductor,24,15,13,10,2.28
194,3,Resistor,56,16,19,16,4.84
194,4,Inductor,49,45,11,13,1.05
194,5,Inductor,17,71,16,13,2.66
194,6,IC,10,14,9,12,1.79
194,7,IC,43,2,13,16,2.56
194,8,Resistor,83,20,5,9,2.9
194,9,Resistor,50,0,7,6,3.61
195,0,IC,14,21,13,17,2.12
195,1,Capacitor,16,77,15,17,0.17
195,2,IC,1,40,8,13,2.29
195,3,Capacitor,90,82,10,18,2.82
195,4,Inductor,54,43,18,14,4.41
195,5,IC,82,37,14,10,0.69
195,6,Diode,46,47,12,7,2.85
195,7,IC,45,19,5,8,0.12
195,8,Diode,66,57,16,17,1.04
195,9,Capacitor,61,14,17,6,3.44
195,10,Diode,47,16,6,13,4.42
195,11,Inductor,64,50,5,5,4.87
195,12,Resistor,36,33,15,18,3.55
196,0,Capacitor,38,41,20,12,0.96
196,1,IC,69,48,9,17,2.28
196,2,Diode,73,67,11,10,1.61
196,3,IC,76,35,5,16,2.96
196,4,Capacitor,47,59,10,15,2.73
196,5,Diode,30,36,7,14,0.17
196,6,Capacitor,76,17,17,9,4.35
196,7,Capacitor,9,31,17,13,2.22
196,8,Capacitor,34,41,9,9,3.49
196,9,Capacitor,75,52,16,9,4.19
196,10,Capacitor,1,26,19,13,4.55
196,11,Inductor,14,54,17,13,4.08
196,12,Capacitor,62,36,7,11,1.15
196,13,Diode,65,56,7,6,4.28
197,0,Diode,7,5,12,18,3.3
197,1,IC,60,60,7,13,2.36
197,2,Inductor,75,82,20,14,0.61
197,3,Capacitor,8,86,6,9,1.27
197,4,Resistor,71,79,18,10,4.44
197,5,Diode,13,17,6,15,4.92
197,6,IC,45,31,6,10,4.36
197,7,IC,14,69,6,11,1.29
197,8,IC,0,80,17,16,4.12
197,9,Resistor,77,20,14,17,4.66
197,10,Resistor,69,30,19,20,4.99
197,11,Resistor,73,3,11,15,1.93
198,0,IC,7,53,19,14,1.7
198,1,Inductor,11,83,6,12,2.02
198,2,Capacitor,42,50,11,7,4.43
198,3,IC,18,78,13,11,4.08
198,4,IC,13,62,20,14,1.5
198,5,Resistor,34,75,14,17,4.64
198,6,Resistor,74,52,5,15,0.74
198,7,IC,78,27,12,5,1.31
198,8,Resistor,64,34,20,6,1.7
198,9,Inductor,24,46,10,19,1.7
198,10,Capacitor,15,17,7,15,4.46
198,11,Diode,59,36,20,19,2.39
198,12,Resistor,45,12,13,15,0.7
198,13,IC,12,51,11,18,4.6
199,0,IC,27,12,18,20,4.02
199,1,Capacitor,19,61,18,13,2.13
199,2,Diode,64,37,12,8,1.06
199,3,Inductor,84,22,13,9,2.17
199,4,Inductor,74,44,16,14,0.75
200,0,Inductor,30,32,17,8,3.43
200,1,Diode,70,36,19,20,2.96
200,2,IC,29,9,18,11,4.03
200,3,Diode,82,11,16,5,3.91
200,4,Capacitor,8,43,17,9,1.51
200,5,Diode,27,9,20,17,0.54
200,6,Capacitor,78,17,12,12,4.26
200,7,Capacitor,82,42,11,9,1.41
200,8,Diode,39,1,5,5,4.78
200,9,Resistor,57,78,17,14,4.26
201,0,Capacitor,35,74,17,5,4.73
201,1,Diode,28,93,17,6,1.35
201,2,Diode,20,82,10,5,1.51
201,3,Inductor,4,72,16,6,3.15
201,4,Diode,60,76,13,17,4.02
202,0,Diode,76,7,13,8,0.95
202,1,Inductor,34,5,13,11,1.38
202,2,Capacitor,27,13,18,8,0.39
202,3,IC,72,36,11,8,4.19
202,4,Resistor,8,36,9,15,4.02
202,5,Resistor,33,0,5,9,4.52
202,6,Diode,1,12,6,9,4.92
203,0,Capacitor,17,20,11,15,2.65
203,1,Capacitor,74,27,8,11,2.26
203,2,Diode,38,54,12,19,4.42
203,3,Inductor,30,68,9,8,3.78
203,4,Capacitor,59,54,12,12,2.77
203,5,Capacitor,28,16,17,15,3.85
203,6,Inductor,40,5,5,20,1.8
204,0,Diode,15,17,18,15,4.88
204,1,Capacitor,12,64,19,13,4.8
204,2,Resistor,63,41,17,18,2.89
204,3,Resistor,42,74,6,14,1.97
204,4,Diode,87,49,11,16,4.8
204,5,Diode,58,82,6,16,4.92
204,6,Resistor,16,66,7,6,1.48
204,7,IC,67,86,14,6,4.79
205,0,Resistor,21,46,18,10,4.28
205,1,Resistor,13,70,11,20,1.82
205,2,Diode,39,53,13,17,0.88
205,3,Inductor,35,86,17,7,3.18
205,4,Resistor,80,24,19,10,1.71
205,5,Diode,34,74,15,15,1.83
205,6,IC,39,26,12,5,1.61
205,7,Resistor,92,69,5,8,1.35
205,8,Capacitor,76,22,20,9,4.5
205,9,Capacitor,3,66,9,12,3.31
205,10,Diode,70,69,13,20,0.75
206,0,Capacitor,44,18,12,14,2.43
206,1,Inductor,51,30,20,9,3.59
206,2,IC,3,70,8,8,4.84
206,3,Inductor,79,33,12,9,1.39
206,4,Diode,6,78,10,8,4.51
206,5,IC,49,6,12,20,0.38
206,6,Capacitor,4,77,20,18,2.17
206,7,Diode,60,11,19,8,3.95
206,8,Inductor,89,54,10,18,4.75
207,0,Inductor,80,43,6,5,3.19
207,1,Inductor,4,45,20,9,4.69
207,2,Diode,67,11,12,10,4.34
207,3,Inductor,70,54,11,15,2.25
207,4,Resistor,0,57,16,5,4.88
207,5,Capacitor,49,8,19,9,1.87
207,6,Resistor,2,66,14,10,3.76
207,7,Inductor,78,45,14,6,2.63
207,8,Resistor,30,29,5,20,1.66
207,9,IC,62,26,13,8,4.88
207,10,IC,2,5,9,9,0.13
207,11,Capacitor,70,49,8,6,0.5
208,0,Inductor,66,65,10,10,3.04
208,1,Resistor,3,49,9,18,2.89
208,2,Capacitor,8,19,7,18,0.83
208,3,Diode,87,51,12,9,4.42
208,4,IC,29,87,15,8,4.89
208,5,Capacitor,10,77,12,18,0.69
208,6,Inductor,22,60,19,20,2.07
208,7,IC,10,7,10,20,2.71
208,8,Diode,30,22,10,13,2.67
208,9,Resistor,6,73,8,17,4.8
208,10,Diode,28,26,9,12,1.91
209,0,Capacitor,40,85,9,13,1.41
209,1,Inductor,17,35,9,8,4.25
209,2,Diode,2,86,19,14,0.16
209,3,Capacitor,56,16,13,13,0.15
209,4,Diode,74,8,7,13,0.23
209,5,Inductor,84,83,7,15,1.51
209,6,Capacitor,21,55,19,20,3.78
209,7,Resistor,20,74,8,8,4.38
209,8,Resistor,1,46,12,20,1.93
209,9,Diode,7,60,16,20,2.65
209,10,Capacitor,33,30,8,20,0.31
209,11,Resistor,64,35,12,12,2.17
210,0,Diode,78,86,20,8,1.69
210,1,Inductor,86,59,14,7,4.38
210,2,Resistor,49,72,19,5,0.55
210,3,Resistor,71,35,8,14,3.27
210,4,Capacitor,61,4,17,8,4.53
210,5,Capacitor,37,59,13,12,3.54
210,6,Resistor,22,43,14,17,4.17
210,7,IC,30,66,5,16,2.08
210,8,Resistor,69,66,7,5,2.65
210,9,Inductor,78,21,11,16,3.31
210,10,IC,0,53,20,9,2.37
210,11,IC,23,65,6,20,1.24
210,12,IC,34,18,13,19,2.84
211,0,Diode,6,24,14,6,3.03
211,1,Diode,11,71,5,17,0.99
211,2,Resistor,71,48,19,9,2.38
211,3,IC,55,24,17,16,1.71
211,4,Inductor,48,52,6,18,3.67
211,5,Inductor,27,39,5,9,4.19
212,0,Resistor,72,65,8,6,1.86
212,1,IC,46,26,15,8,3.2
212,2,Diode,59,53,6,17,0.54
212,3,Diode,57,57,19,17,2.88
212,4,Resistor,19,57,11,6,3.68
212,5,Capacitor,32,14,14,8,3.73
212,6,Inductor,34,17,17,12,4.07
212,7,Inductor,85,46,9,6,3.09
212,8,Resistor,73,86,8,10,4.84
212,9,IC,50,5,13,5,4.48
212,10,Diode,38,24,20,17,3.12
212,11,Resistor,63,4,12,13,3.14
213,0,Resistor,43,48,9,6,3.7
213,1,Capacitor,69,0,14,13,4.68
213,2,Resistor,23,1,19,19,1.19
213,3,Capacitor,57,36,14,12,0.84
213,4,Diode,19,70,7,15,2.76
213,5,Inductor,55,0,6,10,3.45
213,6,Diode,69,67,7,14,4.24
213,7,Capacitor,28,70,10,17,4.02
213,8,Diode,55,29,9,18,3.5
213,9,IC,84,50,15,9,0.54
213,10,Diode,61,71,12,5,1.38
213,11,Inductor,29,65,16,6,1.36
213,12,Diode,69,75,15,17,4.7
213,13,Capacitor,19,70,5,13,2.37
214,0,Inductor,76,31,5,10,4.04
214,1,Resistor,52,71,9,18,3.99
214,2,Resistor,83,16,7,17,4.21
214,3,Capacitor,79,11,18,14,0.83
214,4,IC,82,22,13,8,3.6
214,5,Diode,77,37,11,16,3.49
214,6,Diode,49,14,13,17,1.72
215,0,Diode,58,46,15,11,4.16
215,1,IC,45,55,10,7,3.52
215,2,Inductor,36,18,14,11,1.74
215,3,Inductor,18,32,5,11,0.24
215,4,Capacitor,65,77,10,14,3.58
215,5,Inductor,0,9,7,8,1.07
215,6,Capacitor,65,7,16,12,1.31
215,7,Inductor,32,45,20,17,2.04
216,0,Diode,69,79,6,12,0.16
216,1,Inductor,52,74,19,6,0.92
216,2,Capacitor,14,18,12,11,1.87
216,3,Inductor,44,40,13,7,4.14
216,4,Capacitor,86,26,13,19,4.99
216,5,Diode,65,1,12,13,1.15
216,6,Diode,66,24,7,10,2.81
216,7,Inductor,35,81,8,7,1.21
216,8,Diode,38,2,17,9,2.94
217,0,Diode,83,52,17,9,4.03
217,1,Resistor,49,76,16,5,4.14
217,2,Resistor,27,31,17,18,0.24
217,3,Capacitor,53,90,16,8,2.08
217,4,Resistor,11,68,13,8,3.54
217,5,IC,17,40,6,13,4.38
217,6,Inductor,61,77,7,7,1.95
218,0,Diode,45,77,14,14,2.58
218,1,IC,71,46,20,11,3.09
218,2,Resistor,34,50,5,6,1.92
218,3,Diode,24,77,12,6,3.25
218,4,Inductor,39,73,18,10,3.46
218,5,Inductor,62,32,13,20,4.35
218,6,Inductor,72,2,19,10,2.28
218,7,IC,82,6,14,18,1.13
218,8,Resistor,63,42,19,11,0.17
218,9,Resistor,28,46,8,9,2.92
218,10,Inductor,60,39,12,20,4.55
218,11,Diode,47,36,18,15,2.02
218,12,Diode,43,79,17,18,3.36
219,0,Diode,5,2,17,13,3.58
219,1,Inductor,47,41,10,9,0.87
219,2,Diode,11,33,18,19,2.08
219,3,Inductor,43,41,14,17,4.79
219,4,Inductor,1,12,13,15,2.7
219,5,Capacitor,7,39,10,18,3.24
219,6,Inductor,81,87,10,12,0.46
219,7,Resistor,22,6,8,7,2.23
219,8,Inductor,0,63,16,7,2.62
219,9,Inductor,25,3,18,12,4.61
219,10,Resistor,78,52,13,9,0.81
219,11,Inductor,46,41,5,12,4.07
219,12,Inductor,36,68,20,9,2.7
220,0,Resistor,81,26,11,20,2.54
220,1,Inductor,43,25,9,20,1.66
220,2,Capacitor,45,40,20,6,2.04
220,3,Diode,64,80,20,17,4.66
220,4,Capacitor,14,38,19,18,1.0
220,5,Resistor,61,69,9,19,1.72
220,6,Diode,88,27,12,13,0.18
220,7,Diode,1,34,18,17,1.09
220,8,Resistor,80,74,18,9,1.48
220,9,Diode,33,77,19,6,2.89
220,10,IC,52,44,9,19,3.73
220,11,IC,42,64,10,7,1.47
221,0,Resistor,8,54,19,16,4.96
221,1,Capacitor,23,75,14,17,0.64
221,2,Diode,23,25,18,6,4.99
221,3,Capacitor,94,13,6,9,0.52
221,4,IC,55,44,14,12,4.81
222,0,Inductor,82,24,8,8,4.56
222,1,IC,16,9,20,10,2.07
222,2,Resistor,31,38,17,15,3.14
222,3,Inductor,36,26,5,19,0.99
222,4,Resistor,16,39,10,18,1.96
223,0,Diode,19,61,9,9,1.38
223,1,Capacitor,73,77,17,6,0.42
223,2,Diode,59,16,5,13,1.18
223,3,Resistor,46,94,11,6,1.85
223,4,IC,39,52,11,16,1.87
223,5,Inductor,44,56,17,14,4.99
224,0,Diode,42,41,14,16,3.28
224,1,Resistor,64,47,6,11,1.53
224,2,IC,38,7,8,18,2.92
224,3,Diode,55,70,6,8,3.06
224,4,IC,74,40,11,13,2.65
224,5,Capacitor,4,54,13,18,0.6
224,6,IC,43,51,18,17,1.3
224,7,IC,31,11,14,20,0.11
224,8,Capacitor,32,73,19,12,1.43
224,9,Diode,21,54,16,8,0.42
224,10,Capacitor,6,54,9,8,3.93
225,0,Inductor,9,42,12,20,4.13
225,1,Capacitor,31,83,20,16,0.11
225,2,Diode,52,63,14,20,4.85
225,3,IC,4,30,8,19,3.11
225,4,Resistor,48,4,18,7,4.27
225,5,IC,55,80,14,10,1.1
225,6,Capacitor,45,79,15,12,2.56
225,7,Diode,52,8,18,14,3.89
225,8,Inductor,57,4,17,7,4.69
225,9,Inductor,53,24,18,19,2.46
226,0,IC,64,94,8,5,3.45
226,1,Diode,50,8,14,16,1.29
226,2,IC,51,9,7,13,3.16
226,3,Capacitor,26,66,6,18,0.45
226,4,IC,24,44,20,14,4.26
226,5,Resistor,82,63,16,12,0.15
226,6,Diode,55,38,8,10,2.24
226,7,IC,62,69,8,13,1.8
226,8,Resistor,21,71,13,18,4.35
226,9,IC,57,68,15,7,1.29
226,10,Inductor,47,26,17,15,4.79
226,11,Diode,55,58,19,6,3.35
226,12,Capacitor,59,82,7,6,0.18
226,13,IC,30,88,9,9,2.35
227,0,Resistor,85,50,14,7,2.43
227,1,Diode,20,9,11,10,2.94
227,2,Inductor,8,60,11,13,2.83
227,3,Inductor,81,60,9,12,2.1
227,4,Capacitor,59,57,6,6,4.62
227,5,Diode,63,14,17,9,3.59
227,6,Capacitor,35,80,17,9,4.95
227,7,IC,67,6,19,10,1.8
227,8,Inductor,1,63,16,15,0.5
227,9,Diode,3,56,9,11,0.59
227,10,Capacitor,22,2,9,7,4.4
227,11,Resistor,7,87,19,11,1.06
227,12,IC,59,67,17,7,0.99
227,13,Resistor,74,87,7,11,2.77
227,14,IC,14,50,17,15,1.29
228,0,Inductor,66,35,14,6,3.55
228,1,Diode,66,54,15,8,4.87
228,2,IC,12,77,9,18,2.97
228,3,IC,14,63,17,18,4.81
228,4,Inductor,26,48,14,18,3.22
228,5,Resistor,82,89,11,6,2.64
228,6,Inductor,13,42,15,18,4.87
228,7,Diode,45,26,20,7,1.79
229,0,Diode,46,64,9,7,2.9
229,1,Capacitor,27,86,5,8,3.7
229,2,Diode,35,27,20,18,4.94
229,3,Capacitor,14,47,20,6,4.73
229,4,Diode,24,77,15,13,2.11
229,5,Inductor,66,53,8,16,4.1
229,6,IC,80,35,6,5,3.47
229,7,Capacitor,16,48,15,12,0.15
229,8,IC,80,35,17,8,2.64
229,9,Resistor,11,80,18,16,0.36
230,0,Diode,55,57,8,5,1.34
230,1,Diode,27,57,7,17,0.96
230,2,Capacitor,9,67,19,5,1.31
230,3,Resistor,50,12,6,8,1.09
230,4,Resistor,43,2,5,15,3.97
230,5,Inductor,35,22,12,17,2.28
230,6,Diode,46,45,20,19,4.4
230,7,IC,89,44,11,18,0.38
230,8,Resistor,33,58,16,5,2.84
230,9,Inductor,92,85,6,12,4.78
230,10,Resistor,18,87,12,11,4.89
230,11,IC,23,25,5,18,3.45
230,12,Diode,35,55,5,7,0.15
230,13,Diode,89,56,8,10,0.7
231,0,Diode,25,92,9,6,4.39
231,1,Inductor,44,78,18,14,1.89
231,2,Diode,34,7,7,18,0.36
231,3,Capacitor,22,13,7,20,4.61
231,4,Capacitor,62,3,8,19,1.3
231,5,Resistor,46,27,13,13,3.49
231,6,Diode,13,83,19,6,2.0
231,7,IC,89,64,6,18,0.46
231,8,Diode,23,58,7,13,1.88
231,9,Inductor,25,10,12,8,4.81
231,10,Resistor,35,76,5,6,4.55
231,11,Diode,9,90,9,8,3.12
231,12,Diode,14,69,7,13,2.97
232,0,Diode,83,77,9,18,2.48
232,1,IC,35,4,11,7,2.83
232,2,Resistor,58,43,14,12,4.49
232,3,Capacitor,81,19,8,13,3.25
232,4,IC,10,91,8,8,1.79
232,5,Inductor,3,27,16,20,1.79
232,6,Diode,28,64,15,19,1.55
232,7,Resistor,25,84,18,8,4.42
232,8,Capacitor,74,7,17,13,4.64
232,9,Resistor,37,36,13,20,0.45
232,10,Resistor,2,7,16,5,0.71
232,11,Resistor,37,34,11,12,0.5
233,0,Capacitor,43,83,11,14,1.9
233,1,Inductor,84,56,6,5,3.51
233,2,Capacitor,82,5,7,6,2.15
233,3,Inductor,22,41,5,6,1.06
233,4,Capacitor,52,95,6,5,0.19
233,5,Capacitor,91,48,9,12,2.78
233,6,Diode,33,42,12,6,3.3
233,7,IC,45,18,7,8,2.23
233,8,Inductor,16,24,17,20,0.29
233,9,Inductor,31,5,8,13,0.13
233,10,Inductor,57,35,18,14,0.64
233,11,Resistor,17,49,12,12,1.66
233,12,Inductor,50,17,20,16,0.88
234,0,Resistor,73,4,10,5,4.78
234,1,Capacitor,54,12,11,8,3.92
234,2,Capacitor,85,44,7,8,0.83
234,3,Diode,30,68,16,6,0.4
234,4,IC,70,2,15,11,3.83
234,5,Inductor,13,51,12,19,4.97
234,6,Diode,25,75,18,17,0.19
234,7,Capacitor,69,89,14,7,4.17
234,8,Capacitor,74,60,9,9,3.49
234,9,Resistor,61,22,7,8,2.01
234,10,Capacitor,22,46,17,19,0.35
234,11,IC,78,49,18,8,4.1
234,12,Diode,35,49,12,5,4.63
234,13,Resistor,62,45,12,20,1.96
234,14,Inductor,73,47,7,9,0.61
235,0,Resistor,68,40,18,15,2.32
235,1,Diode,14,85,20,15,1.59
235,2,Diode,53,74,7,13,2.86
235,3,IC,83,74,12,7,4.63
235,4,Resistor,21,29,6,11,1.65
235,5,Inductor,10,84,8,12,4.34
235,6,Diode,6,25,20,11,0.88
236,0,Diode,33,69,11,8,1.69
236,1,IC,53,28,15,17,3.91
236,2,Diode,14,22,5,12,2.85
236,3,Resistor,44,10,17,6,2.36
236,4,Inductor,18,57,19,8,4.3
236,5,Diode,50,10,18,15,0.52
236,6,Inductor,34,8,8,13,3.89
236,7,Diode,5,35,6,14,4.2
236,8,Inductor,74,8,13,11,0.65
236,9,Diode,66,55,10,6,1.52
236,10,Diode,6,30,9,19,2.85
237,0,Resistor,87,27,13,8,4.5
237,1,Capacitor,78,8,15,14,4.87
237,2,IC,7,21,18,19,2.51
237,3,Resistor,61,24,20,9,2.27
237,4,Resistor,59,87,13,8,2.93
237,5,IC,54,70,19,15,1.39
237,6,Inductor,91,18,9,12,2.62
237,7,IC,11,69,5,16,3.66
237,8,IC,73,12,13,6,3.89
237,9,Capacitor,39,18,15,19,2.09
237,10,Resistor,75,27,15,13,3.42
237,11,IC,21,58,5,5,1.46
237,12,Inductor,6,86,17,13,1.74
238,0,Inductor,51,83,14,6,4.63
238,1,Inductor,14,44,8,11,3.72
238,2,Diode,0,41,17,13,4.38
238,3,IC,80,82,20,7,0.37
238,4,IC,0,9,19,19,4.57
238,5,Diode,2,79,18,10,2.9
238,6,Inductor,61,57,20,13,2.6
238,7,Diode,39,14,14,14,1.65
238,8,Capacitor,16,80,17,15,3.78
238,9,Inductor,89,54,5,17,4.27
238,10,Diode,19,48,15,15,1.0
238,11,IC,56,72,18,14,0.21
238,12,Capacitor,72,59,10,10,1.44
238,13,Resistor,34,75,9,9,1.98
239,0,Capacitor,1,75,11,8,3.63
239,1,Inductor,71,17,20,18,0.95
239,2,Resistor,36,72,17,11,4.31
239,3,IC,44,62,12,6,1.72
239,4,Resistor,1,81,5,15,2.91
239,5,IC,56,33,13,16,3.93
239,6,Capacitor,39,29,19,7,4.0
239,7,Resistor,46,25,16,7,2.84
239,8,Resistor,42,68,11,8,4.73
239,9,Diode,83,76,5,8,2.3
239,10,IC,6,57,7,9,3.62
239,11,Diode,15,57,14,18,3.52
239,12,IC,5,51,19,9,4.91
239,13,Resistor,21,33,12,19,3.9
239,14,Inductor,89,63,5,16,2.92
240,0,Diode,37,77,11,19,0.93
240,1,IC,56,70,13,8,1.65
240,2,Diode,77,53,14,5,2.86
240,3,Inductor,47,81,12,18,3.84
240,4,IC,58,66,17,9,2.13
240,5,Diode,75,63,12,12,2.03
240,6,Capacitor,24,38,15,16,3.3
240,7,Diode,56,60,17,19,2.08
240,8,Capacitor,82,75,11,6,4.8
240,9,Diode,55,60,12,19,1.52
240,10,IC,92,35,5,13,1.9
240,11,Capacitor,83,62,14,20,0.47
240,12,Inductor,75,64,9,20,4.01
240,13,Resistor,69,81,8,11,1.54
241,0,Diode,44,88,20,10,4.92
241,1,Capacitor,9,49,9,12,1.14
241,2,Diode,15,15,13,7,2.32
241,3,Capacitor,32,80,19,14,2.82
241,4,Inductor,77,44,18,16,3.92
241,5,IC,86,13,7,9,3.44
241,6,IC,17,35,14,20,0.48
241,7,Inductor,60,5,16,15,4.56
242,0,Inductor,54,62,10,20,1.67
242,1,Diode,33,66,10,6,3.58
242,2,Capacitor,2,73,5,18,0.35
242,3,Inductor,15,4,18,7,2.85
242,4,Diode,26,85,7,8,4.62
243,0,Diode,33,16,11,10,1.85
243,1,IC,12,62,19,18,3.17
243,2,Resistor,35,85,12,12,2.45
243,3,Capacitor,38,43,14,17,0.3
243,4,IC,86,13,9,13,2.36
244,0,Inductor,65,31,20,8,4.71
244,1,Capacitor,36,75,16,13,4.79
244,2,Resistor,45,52,5,17,0.46
244,3,Inductor,56,94,18,5,2.69
244,4,IC,28,18,14,7,1.33
245,0,Inductor,33,66,19,20,2.79
245,1,IC,62,17,15,17,2.71
245,2,IC,47,14,18,11,4.9
245,3,Inductor,25,83,20,5,2.01
245,4,Capacitor,30,0,18,16,2.77
245,5,Resistor,58,40,6,14,2.62
245,6,IC,72,25,8,11,3.16
245,7,Diode,6,76,16,11,4.12
245,8,Resistor,48,78,19,15,3.58
245,9,Resistor,3,6,8,6,2.35
245,10,Resistor,44,76,13,14,2.23
245,11,Capacitor,48,74,10,7,1.02
245,12,Diode,42,19,14,10,2.55
246,0,Capacitor,81,10,18,15,1.47
246,1,Capacitor,17,52,18,10,4.66
246,2,Capacitor,4,22,11,9,1.4
246,3,Inductor,9,23,18,5,4.72
246,4,Diode,32,83,12,7,2.57
246,5,Inductor,31,61,7,16,3.62
247,0,IC,8,53,18,9,4.76
247,1,Diode,57,24,20,13,1.92
